admin_id,admin_name,kabupaten,lat,lon
320301,Agrabinta,Kab.Cianjur,-7.42,106.90
320302,Leles,Kab.Cianjur,-7.37,106.98
320303,Sindangbarang,Kab.Cianjur,-7.42,107.15
320304,Cidaun,Kab.Cianjur,-7.40,107.33
320305,Naringgul,Kab.Cianjur,-7.33,107.33
320306,Cibinong,Kab.Cianjur,-7.31,107.13
320307,Cikadu,Kab.Cianjur,-7.42,107.15
320308,Tanggeung,Kab.Cianjur,-7.26,107.12
320309,Pasirkuda,Kab.Cianjur,-7.07,107.08
320310,Kadupandak,Kab.Cianjur,-7.26,107.05
320311,Cijati,Kab.Cianjur,-7.26,107.03
320312,Takokak,Kab.Cianjur,-7.05,107.00
320313,Sukanagara,Kab.Cianjur,-7.10,107.13
320314,Pagelaran,Kab.Cianjur,-7.20,107.14
320315,Campaka,Kab.Cianjur,-7.02,107.14
320316,Campakamulya,Kab.Cianjur,-7.08,107.17
320317,Cibeber,Kab.Cianjur,-6.94,107.15
320318,Warungkondang,Kab.Cianjur,-6.87,107.09
320319,Gekbrong,Kab.Cianjur,-6.87,107.03
320320,Cilaku,Kab.Cianjur,-6.88,107.13
320321,Sukaluyu,Kab.Cianjur,-6.94,107.15
320322,Bojongpicung,Kab.Cianjur,-6.89,107.22
320323,Haurwangi,Kab.Cianjur,-6.83,107.31
320324,Ciranjang,Kab.Cianjur,-6.81,107.25
320325,Mande,Kab.Cianjur,-6.74,107.25
320326,Karangtengah,Kab.Cianjur,-6.80,107.18
320327,Cianjur,Kab.Cianjur,-6.82,107.14
320328,Cugenang,Kab.Cianjur,-6.80,107.08
320329,Pacet,Kab.Cianjur,-6.75,107.05
320330,Cipanas,Kab.Cianjur,-6.73,107.04
320331,Sukaresmi,Kab.Cianjur,-6.73,107.09
320201,Cikalongkulon,Kab. Sukabumi,-6.68,107.22
320202,Ciemas,Kab. Sukabumi,-7.14,106.54
320203,Ciracap,Kab. Sukabumi,-7.33,106.52
320204,Waluran,Kab. Sukabumi,-7.22,106.59
320205,Surade,Kab. Sukabumi,-7.42,106.72
320206,Cibitung,Kab. Sukabumi,-7.33,106.62
320207,Jampang Kulon,Kab. Sukabumi,-7.25,106.63
320208,Cimanggu,Kab. Sukabumi,-7.25,106.67
320209,Kalibunder,Kab. Sukabumi,-7.26,106.72
320210,Tegalbuleud,Kab. Sukabumi,-7.42,106.72
320211,Cidolog,Kab. Sukabumi,-7.31,106.84
320212,Sagaranten,Kab. Sukabumi,-7.21,106.88
320213,Cidadap,Kab. Sukabumi,-7.28,106.94
320214,Curugkembar,Kab. Sukabumi,-7.21,106.93
320215,Pabuaran,Kab. Sukabumi,-7.21,106.84
320216,Lengkong,Kab. Sukabumi,-7.13,106.69
320217,Palabuhanratu,Kab. Sukabumi,-6.99,106.55
320218,Simpenan,Kab. Sukabumi,-7.03,106.56
320219,Warungkiara,Kab. Sukabumi,-6.97,106.72
320220,Bantargadung,Kab. Sukabumi,-6.99,106.67
320221,Jampang Tengah,Kab. Sukabumi,-7.06,106.80
320222,Purabaya,Kab. Sukabumi,-7.11,106.88
320223,Cikembar,Kab. Sukabumi,-6.96,106.80
320224,Nyalindung,Kab. Sukabumi,-7.04,106.94
